year,region,crop,district,area_ha,production_ton,yield_kgha,source
2004,Костанайская область,Пшеница,Рудный г.а.,100.0,40.0,470.0,stat_gov_kz_real
2005,Костанайская область,Пшеница,Рудный г.а.,100.0,30.0,330.0,stat_gov_kz_real
2006,Костанайская область,Пшеница,Рудный г.а.,100.0,50.0,740.0,stat_gov_kz_real
2011,Костанайская область,Пшеница,Рудный г.а.,0.0,50.0,1230.0,stat_gov_kz_real
2012,Костанайская область,Пшеница,Рудный г.а.,100.0,,,stat_gov_kz_real
2013,Костанайская область,Пшеница,Рудный г.а.,100.0,50.0,530.0,stat_gov_kz_real
2014,Костанайская область,Пшеница,Рудный г.а.,0.0,0.0,150.0,stat_gov_kz_real
2020,Костанайская область,Пшеница,Рудный г.а.,100.0,30.0,340.0,stat_gov_kz_real
2004,Костанайская область,Ячмень,Рудный г.а.,,10.0,600.0,stat_gov_kz_real
2008,Костанайская область,Ячмень,Рудный г.а.,100.0,60.0,,stat_gov_kz_real
2009,Костанайская область,Ячмень,Рудный г.а.,100.0,68.0,680.0,stat_gov_kz_real
2010,Костанайская область,Ячмень,Рудный г.а.,100.0,13.0,130.0,stat_gov_kz_real
2012,Костанайская область,Ячмень,Рудный г.а.,60.0,,,stat_gov_kz_real
2014,Костанайская область,Ячмень,Рудный г.а.,60.0,40.0,666.67,stat_gov_kz_real
2015,Костанайская область,Ячмень,Рудный г.а.,140.0,70.5,503.57000000000005,stat_gov_kz_real
2017,Костанайская область,Ячмень,Рудный г.а.,200.0,240.0,1333.33,stat_gov_kz_real
2019,Костанайская область,Ячмень,Рудный г.а.,131.6,65.8,500.0,stat_gov_kz_real
2022,Костанайская область,Ячмень,Рудный г.а.,50.0,41.2,819.9999999999999,stat_gov_kz_real
2022,Костанайская область,Кукуруза,Сарыкольский,2911.0,2642.7000000000003,910.0,stat_gov_kz_real
2023,Костанайская область,Кукуруза,Сарыкольский,199.0,200.0,990.0,stat_gov_kz_real
1991,Костанайская область,Подсолнечник,Сарыкольский,200.0,40.0,160.0,stat_gov_kz_real
